[(7, 20.97), (7, 33.29), (7, 12.28), (7, 27.32), (7, 24.41), (7, 19.97), (7, 22.91), (7, 13.53), (7, 4.74), (7, 9.98), (7, 15.03), (7, 36.42), (7, 20.3), (7, 38.67), (7, 13.37), (7, 32.08), (7, 8.21), (7, 4.35), (7, 17.35), (7, 23.15), 'N1-80-400-100']

[(6, 0.14), (6, 0.02), (6, 0.42), (6, 0.02), (6, 0.04), (6, 0.35), (6, 0.03), (6, 0.05), (6, 0.13), (6, 0.06), (6, 0.04), (6, 0.07), (6, 0.06), (6, 0.06), (6, 0.08), (6, 0.5), (6, 0.04), (6, 0.0), (6, 0.33), (6, 0.08), 'N1-80-400-110']

[(5, 36.13), (5, 21.46), (5, 8.52), (5, 16.27), (5, 26.87), (5, 14.26), (5, 7.27), (6, 8.31), (5, 28.1), (5, 6.0), (5, 14.74), (5, 20.29), (5, 6.1), (5, 34.76), (5, 12.91), (5, 22.59), (5, 9.02), (6, 3.41), (5, 13.16), (5, 34.43), 'N1-80-400-120']

[(15, 0.0), (15, 0.0), (15, 0.0), (15, 0.0), (15, 0.0), (15, 0.0), (15, 0.0), (15, 0.0), (15, 0.0), (15, 0.0), (15, 0.01), (15, 0.0), (15, 0.02), (15, 0.0), (15, 0.0), (15, 0.0), (15, 0.0), (15, 0.02), (15, 0.0), (15, 0.0), 'N1-80-400-60']

[(12, 6.02), (12, 6.14), (12, 6.84), (12, 18.96), (12, 1.41), (12, 6.17), (12, 2.17), (12, 8.52), (12, 4.78), (12, 0.94), (12, 7.09), (12, 10.93), (12, 1.92), (12, 11.76), (12, 5.82), (12, 0.82), (12, 0.59), (12, 2.51), (12, 0.69), (12, 5.05), 'N1-80-400-70']

[(9, 11.02), (9, 2.11), (9, 5.14), (9, 5.38), (9, 3.66), (9, 5.73), (9, 3.5), (9, 1.83), (9, 1.78), (9, 17.86), (9, 4.96), (9, 8.33), (9, 1.31), (9, 19.33), (9, 5.81), (9, 5.35), (9, 4.33), (9, 1.39), (9, 15.33), (9, 15.24), 'N1-80-400-80']

[(8, 0.01), (8, 0.02), (8, 0.02), (8, 0.02), (8, 0.01), (8, 0.0), (8, 0.02), (8, 0.03), (8, 0.0), (8, 0.03), (8, 0.0), (8, 0.04), (8, 0.03), (8, 0.03), (8, 0.02), (8, 0.01), (8, 0.02), (8, 0.04), (8, 0.0), (8, 0.01), 'N1-80-400-90']

[(13, 16.6), (13, 43.76), (13, 45.88), (13, 7.06), (13, 40.06), (13, 44.64), (14, 0.02), (13, 13.25), (13, 17.84), (13, 35.82), (13, 20.07), (14, 0.33), (13, 35.02), (13, 24.07), (13, 8.23), (13, 24.37), (14, 0.78), (13, 20.1), (13, 12.61), (13, 23.39), 'N2-100-600-100']

[(11, 0.49), (11, 2.51), (11, 4.28), (11, 0.83), (11, 0.43), (11, 2.03), (11, 14.66), (11, 2.81), (11, 1.18), (11, 0.98), (11, 5.03), (11, 0.96), (11, 3.03), (11, 1.49), (11, 0.83), (11, 3.97), (11, 1.0), (11, 2.38), (11, 1.54), (11, 1.11), 'N2-100-600-110']

[(9, 15.06), (9, 12.3), (9, 9.34), (10, 0.06), (9, 35.5), (10, 0.11), (9, 7.17), (9, 3.88), (9, 10.08), (9, 12.25), (9, 18.14), (9, 16.52), (10, 0.54), (9, 6.61), (9, 11.22), (9, 3.17), (9, 40.0), (10, 0.45), (10, 0.74), (9, 22.39), 'N2-100-600-120']

[(18, 45.05), (18, 17.71), (18, 0.62), (18, 0.48), (18, 2.71), (18, 1.43), (18, 1.52), (18, 2.18), (18, 13.88), (18, 2.13), (18, 0.48), (18, 1.3), (18, 7.18), (18, 0.34), (18, 0.91), (18, 13.37), (18, 7.16), (18, 15.0), (18, 0.95), (18, 0.17), 'N2-100-600-80']

[(15, 0.66), (15, 1.06), (15, 2.62), (15, 1.35), (15, 1.14), (15, 1.03), (15, 5.83), (15, 1.37), (15, 3.39), (15, 0.74), (15, 1.49), (15, 3.0), (15, 1.84), (15, 1.15), (15, 7.91), (15, 3.5), (15, 1.11), (15, 0.61), (15, 0.53), (15, 0.68), 'N2-100-600-90']

[(18, 9.85), (18, 11.12), (19, 2.41), (18, 30.26), (19, 3.7), (18, 14.8), (18, 11.16), (18, 24.95), (18, 8.66), (18, 25.92), (18, 33.96), (18, 4.7), (18, 12.29), (18, 10.63), (18, 11.51), (18, 4.92), (18, 25.45), (18, 24.5), (19, 3.59), (18, 18.29), 'N3-200-700-100']

[(17, 16.07), (17, 9.15), (16, 9.42), (16, 30.52), (17, 18.98), (17, 2.96), (17, 2.72), (17, 10.66), (17, 17.48), (17, 27.9), (16, 12.19), (16, 8.4), (17, 10.37), (17, 2.49), (17, 7.76), (16, 19.03), (16, 33.47), (17, 7.47), (17, 5.34), (16, 46.05), 'N3-200-700-110']

[(14, 5.26), (14, 7.36), (14, 11.43), (14, 4.49), (14, 4.9), (14, 15.77), (14, 3.54), (14, 3.09), (14, 6.63), (14, 15.63), (14, 5.34), (14, 8.73), (14, 8.31), (14, 4.9), (14, 8.59), (14, 22.71), (14, 4.56), (14, 40.81), (14, 7.1), (14, 7.11), 'N3-200-700-120']

[(32, 34.15), (32, 34.03), (32, 4.06), (33, 5.35), (32, 46.56), (33, 25.26), (33, 37.8), (33, 41.9), (32, 48.08), (32, 13.0), (34, 3.78), (32, 40.93), (33, 18.13), (32, 12.66), (33, 6.7), (32, 41.89), (32, 39.73), (33, 4.24), (32, 26.09), (32, 13.79), 'N3-200-700-70']

[(27, 47.26), (27, 36.76), (28, 3.29), (27, 27.93), (27, 15.15), (27, 22.56), (28, 21.48), (27, 2.86), (27, 29.86), (27, 34.3), (28, 11.4), (26, 11.32), (28, 15.48), (28, 6.56), (28, 14.22), (27, 42.52), (28, 2.89), (28, 2.47), (28, 3.37), (28, 26.61), 'N3-200-700-80']

[(23, 14.04), (23, 7.57), (23, 8.2), (24, 4.0), (23, 33.21), (24, 24.01), (24, 3.92), (24, 3.83), (24, 48.93), (23, 12.98), (23, 9.61), (24, 20.52), (24, 6.84), (24, 45.34), (24, 16.18), (23, 27.35), (24, 3.65), (23, 20.8), (23, 12.48), (23, 29.86), 'N3-200-700-90']

[(37, 10.41), (35, 41.64), (38, 9.87), (35, 49.36), (36, 22.32), (36, 18.78), (37, 23.57), (36, 6.16), (36, 49.9), (35, 49.35), (35, 30.82), (37, 27.38), (37, 26.67), (35, 8.7), (35, 6.48), (37, 39.49), (37, 24.74), (36, 9.66), (35, 26.91), (38, 4.67), 'N4-200-1000-100']

[(30, 23.29), (31, 12.38), (31, 13.01), (31, 10.68), (30, 11.1), (30, 27.36), (30, 30.43), (30, 14.88), (31, 26.27), (30, 40.91), (30, 6.33), (30, 24.68), (31, 11.8), (30, 11.61), (30, 5.7), (31, 35.31), (30, 20.31), (30, 24.06), (30, 31.39), (31, 21.36), 'N4-200-1000-110']

[(24, 18.87), (23, 14.58), (23, 16.27), (23, 8.22), (24, 32.09), (23, 12.48), (24, 3.74), (23, 25.65), (24, 15.88), (23, 22.8), (24, 27.56), (23, 33.75), (24, 10.5), (23, 21.6), (23, 12.32), (23, 37.45), (23, 25.82), (23, 14.58), (23, 23.2), (23, 12.31), 'N4-200-1000-120']

[(23, 2.64), (23, 2.94), (23, 12.85), (23, 7.57), (23, 6.14), (23, 14.89), (23, 10.38), (23, 4.72), (23, 3.62), (23, 3.75), (23, 3.03), (23, 8.64), (23, 2.28), (23, 10.19), (23, 3.54), (23, 21.01), (23, 2.3), (23, 9.62), (23, 35.66), (23, 7.03), 'N4-200-1000-130']

[(22, 3.94), (22, 4.76), (20, 36.88), (21, 11.19), (20, 22.95), (22, 5.74), (20, 17.03), (21, 15.73), (21, 20.79), (21, 40.91), (20, 29.22), (21, 14.66), (21, 38.38), (21, 29.0), (21, 22.88), (21, 6.09), (21, 12.17), (21, 47.22), (21, 30.39), (21, 39.59), 'N4-200-1000-140']

[(17, 41.86), (17, 13.19), (19, 6.09), (18, 18.09), (19, 8.47), (18, 27.11), (18, 5.66), (18, 6.52), (18, 29.95), (19, 2.53), (18, 13.6), (18, 30.56), (17, 4.55), (17, 34.75), (19, 1.9), (18, 15.21), (19, 33.53), (17, 12.44), (17, 30.76), (18, 26.54), 'N4-200-1000-150']

[(17, 6.73), (17, 4.26), (17, 12.23), (17, 1.1), (17, 2.32), (17, 3.51), (17, 6.94), (17, 10.03), (17, 1.42), (17, 5.09), (17, 1.35), (17, 0.68), (17, 10.66), (17, 1.63), (17, 9.8), (17, 3.39), (17, 6.25), (17, 3.21), (17, 1.39), (17, 1.79), 'N4-200-1000-160']

[(47, 4.03), (47, 10.31), (47, 16.13), (48, 10.93), (47, 9.65), (47, 37.31), (47, 12.17), (47, 44.38), (47, 8.18), (47, 34.84), (47, 15.97), (47, 6.83), (48, 5.78), (48, 51.61), (48, 25.83), (47, 9.06), (47, 6.77), (47, 6.11), (47, 4.96), (47, 11.36), 'N5-250-1500-130']

[(41, 40.63), (41, 23.46), (41, 4.54), (41, 50.64), (41, 11.78), (40, 10.71), (41, 8.95), (41, 7.31), (41, 8.28), (41, 4.18), (41, 25.42), (41, 13.41), (41, 4.53), (40, 26.69), (41, 10.78), (41, 14.37), (41, 4.45), (41, 17.11), (40, 42.63), (41, 19.48), 'N5-250-1500-140']

[(37, 6.24), (38, 3.83), (38, 4.2), (38, 25.34), (38, 2.57), (38, 2.45), (37, 9.68), (38, 5.48), (37, 19.91), (37, 4.6), (37, 34.29), (38, 3.02), (37, 28.2), (37, 10.32), (37, 28.18), (38, 5.13), (37, 50.74), (37, 32.05), (38, 2.81), (38, 6.17), 'N5-250-1500-150']

[(35, 18.86), (34, 20.14), (34, 4.2), (34, 5.92), (34, 18.35), (34, 5.51), (34, 14.63), (34, 3.48), (34, 9.02), (34, 11.54), (34, 15.54), (34, 23.5), (34, 15.5), (34, 7.45), (35, 5.01), (35, 8.45), (34, 10.07), (34, 7.05), (34, 4.93), (34, 33.24), 'N5-250-1500-160']

[(43, 12.12), (44, 22.46), (43, 9.04), (44, 7.55), (43, 42.1), (43, 17.1), (44, 30.84), (44, 33.81), (43, 50.42), (44, 12.26), (43, 32.91), (44, 39.84), (43, 35.91), (43, 6.96), (44, 18.7), (43, 10.7), (43, 9.49), (43, 49.14), (44, 6.9), (44, 17.53), 'N6-300-2000-180']

[(40, 44.46), (40, 11.71), (42, 25.46), (41, 36.48), (43, 28.76), (42, 60.48), (42, 50.23), (41, 12.33), (41, 27.53), (41, 62.58), (42, 34.77), (41, 52.93), (40, 46.0), (42, 39.1), (40, 53.21), (42, 26.09), (42, 58.01), (41, 47.31), (41, 32.25), (41, 19.98), 'N6-300-2000-190']

[(37, 9.18), (36, 52.02), (36, 5.58), (36, 16.52), (36, 50.07), (37, 5.01), (37, 22.78), (36, 58.16), (38, 3.09), (36, 34.36), (37, 9.56), (37, 20.7), (36, 41.61), (38, 15.76), (36, 54.79), (36, 7.54), (36, 44.18), (36, 28.6), (36, 48.8), (37, 9.49), 'N6-300-2000-200']

[(34, 50.27), (35, 32.41), (34, 26.5), (34, 51.95), (34, 20.62), (35, 24.07), (34, 38.64), (34, 35.19), (34, 37.06), (34, 30.45), (34, 32.38), (35, 20.49), (35, 20.68), (36, 24.37), (35, 32.0), (34, 14.59), (34, 25.96), (34, 40.53), (35, 37.77), (34, 35.67), 'N6-300-2000-210']

[(32, 30.27), (32, 9.03), (32, 12.01), (32, 23.3), (32, 6.94), (31, 52.05), (32, 8.83), (31, 26.22), (32, 6.27), (31, 9.0), (32, 13.06), (31, 18.28), (31, 48.76), (32, 12.74), (32, 28.25), (31, 18.57), (32, 7.96), (32, 52.01), (32, 10.33), (32, 5.11), 'N6-300-2000-220']

[(56, 73.85), (56, 58.98), (56, 32.14), (56, 66.99), (55, 78.21), (55, 56.14), (55, 59.95), (55, 59.2), (57, 10.25), (56, 31.4), (58, 9.01), (56, 54.78), (56, 69.4), (57, 16.79), (54, 20.52), (56, 14.99), (56, 72.92), (56, 17.88), (56, 43.14), (55, 40.5), 'N7-350-2500-200']

[(49, 29.51), (50, 32.6), (49, 33.23), (50, 57.93), (49, 31.34), (50, 55.96), (50, 33.64), (49, 45.13), (50, 64.76), (49, 36.61), (50, 34.3), (49, 22.96), (50, 43.18), (49, 60.95), (51, 69.96), (50, 56.46), (50, 19.34), (51, 56.02), (51, 18.86), (48, 50.93), 'N7-350-2500-210']

[(45, 27.73), (45, 21.4), (46, 29.34), (47, 9.35), (45, 12.24), (44, 34.98), (46, 23.01), (46, 13.17), (46, 26.71), (45, 9.75), (45, 14.68), (46, 9.86), (45, 24.02), (45, 20.33), (45, 61.68), (45, 9.64), (44, 46.64), (45, 58.03), (45, 11.36), (45, 18.95), 'N7-350-2500-220']

[(45, 55.24), (45, 69.66), (43, 47.18), (43, 30.09), (45, 36.83), (44, 24.25), (44, 19.27), (45, 66.89), (44, 38.83), (43, 33.06), (44, 63.56), (43, 59.69), (44, 49.55), (43, 40.91), (45, 20.35), (45, 8.83), (43, 53.73), (43, 27.34), (43, 24.34), (44, 17.32), 'N7-350-2500-230']

[(70, 90.39), (69, 82.85), (70, 12.94), (71, 8.81), (69, 23.45), (68, 54.56), (69, 39.15), (70, 32.76), (70, 8.39), (69, 27.74), (69, 21.09), (70, 47.66), (69, 63.79), (69, 86.58), (71, 35.12), (69, 52.98), (69, 24.76), (70, 13.86), (69, 75.85), (69, 71.22), 'N8-400-3000-210']

[(63, 76.65), (64, 32.14), (64, 59.5), (65, 60.83), (65, 72.15), (66, 22.71), (64, 74.47), (64, 62.97), (65, 51.31), (64, 42.57), (63, 78.35), (66, 22.96), (65, 81.66), (64, 70.6), (65, 64.15), (63, 50.58), (65, 80.76), (65, 44.85), (64, 62.67), (66, 35.08), 'N8-400-3000-220']

[(61, 74.95), (60, 43.9), (60, 69.5), (61, 47.6), (61, 27.15), (62, 23.32), (61, 28.52), (61, 16.58), (60, 43.87), (61, 27.24), (61, 48.66), (61, 43.16), (61, 19.22), (61, 20.92), (61, 30.93), (62, 77.91), (60, 34.64), (61, 15.71), (61, 23.21), (60, 64.63), 'N8-400-3000-230']

[(58, 19.8), (57, 96.14), (56, 83.27), (57, 45.36), (56, 77.37), (57, 36.31), (56, 67.89), (57, 82.04), (57, 76.88), (56, 42.05), (58, 26.19), (56, 77.79), (57, 77.66), (57, 59.25), (56, 78.97), (57, 73.16), (58, 29.7), (58, 36.02), (57, 50.6), (58, 18.62), 'N8-400-3000-240']

