[(11, 0.13), (11, 0.1), (11, 0.18), (11, 0.11), (11, 0.07), (11, 0.09), (11, 0.08), (11, 0.08), (11, 0.11), (11, 0.1), 'N400-0.1-11']

[(14, 0.11), (14, 0.1), (14, 0.28), (14, 0.12), (14, 0.69), (14, 0.18), (14, 0.1), (14, 0.14), (14, 0.07), (14, 0.11), 'N400-0.1-14']

[(18, 0.22), (18, 0.13), (18, 0.11), (18, 0.15), (18, 0.26), (18, 0.14), (18, 0.14), (18, 0.3), (18, 0.11), (18, 0.11), 'N400-0.1-18']

[(23, 0.17), (23, 0.15), (23, 0.18), (23, 0.18), (23, 0.21), (23, 0.13), (23, 0.15), (23, 0.16), (23, 0.24), (23, 0.17), 'N400-0.1-23']

[(8, 0.15), (8, 0.1), (8, 0.11), (8, 0.13), (8, 0.1), (8, 0.1), (8, 0.1), (8, 0.1), (8, 0.11), (8, 0.09), 'N400-0.1-8']

[(11, 0.11), (11, 0.12), (11, 0.1), (11, 0.12), (11, 0.1), (11, 0.12), (11, 0.1), (11, 0.14), (11, 0.1), (11, 0.12), 'N400-0.3-11']

[(14, 0.1), (14, 0.12), (14, 0.11), (14, 0.16), (14, 0.11), (14, 0.13), (14, 0.13), (14, 0.12), (14, 0.11), (14, 0.39), 'N400-0.3-14']

[(3, 2.96), (3, 3.8), (3, 1.19), (4, 14.72), (3, 0.81), (3, 49.73), (3, 15.34), (3, 6.35), (3, 12.12), (4, 11.61), 'N400-0.3-3']

[(5, 0.63), (5, 0.41), (5, 0.15), (5, 0.32), (5, 0.31), (5, 0.32), (5, 0.58), (5, 0.78), (5, 0.28), (5, 0.37), 'N400-0.3-5']

[(8, 0.17), (8, 0.16), (8, 0.18), (8, 0.14), (8, 0.18), (8, 0.16), (8, 0.22), (8, 0.13), (8, 0.12), (8, 0.4), 'N400-0.3-8']

[(11, 0.06), (11, 0.13), (11, 0.07), (11, 0.09), (11, 0.08), (11, 0.08), (11, 0.1), (11, 0.1), (11, 0.1), (11, 0.12), 'N400-0.5-11']

[(3, 0.83), (3, 0.99), (3, 0.83), (3, 0.48), (3, 0.59), (3, 1.08), (3, 0.55), (3, 1.28), (3, 0.55), (3, 0.75), 'N400-0.5-3']

[(8, 0.11), (8, 0.12), (8, 0.13), (8, 0.12), (8, 0.16), (8, 0.11), (8, 0.11), (8, 0.11), (8, 0.22), (8, 0.19), 'N400-0.5-8']

[(11, 0.73), (11, 0.8), (11, 0.76), (11, 0.7), (11, 0.56), (11, 0.87), (11, 0.46), (11, 0.45), (11, 1.07), (11, 0.52), 'N800-0.1-11']

[(14, 0.49), (14, 0.52), (14, 0.52), (14, 0.51), (14, 0.45), (14, 0.5), (14, 0.52), (14, 0.69), (14, 0.52), (14, 1.18), 'N800-0.1-14']

[(22, 0.69), (22, 0.68), (22, 1.24), (22, 0.67), (22, 0.71), (22, 0.66), (22, 0.67), (22, 0.64), (22, 0.6), (22, 0.66), 'N800-0.1-22']

[(3, 88.3), (3, 108.96), (3, 112.23), (3, 127.48), (3, 104.59), (3, 94.94), (3, 91.77), (3, 105.62), (3, 99.22), (3, 113.95), 'N800-0.3-3']

[(5, 2.11), (5, 2.12), (5, 2.11), (5, 1.92), (5, 1.97), (5, 1.89), (5, 2.26), (5, 2.06), (5, 2.1), (5, 2.39), 'N800-0.3-5']

[(3, 4.73), (3, 24.37), (3, 21.17), (3, 10.82), (3, 24.65), (3, 6.07), (3, 4.5), (3, 23.93), (3, 3.25), (3, 9.57), 'N800-0.5-3']

[(6, 2.52), (6, 2.64), (6, 2.67), (6, 2.91), (6, 2.7), (6, 2.65), (6, 2.51), (6, 2.41), (6, 2.49), (6, 3.03), 'N800-0.5-6']

